Metric,Train,Test,Total
R²,0.9963380066854451,0.9684221721161798,0.9925452207274799
RMSE,1.7794521475101437,4.947777832278233,2.520885281847671
MAE,1.2026691687402566,3.3711772051724522,1.52706067011044
AARD (%),5.279755053245998,11.85710525338012,6.263674167499969
